Product_Display_Name,GUID,Service_Plan_Id,Service_Plans_Included_Friendly_Names
Dynamics 365 Business Central Essentials,2880026b-2b0c-4251-8656-5d41ff11e3aa,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Essentials,2880026b-2b0c-4251-8656-5d41ff11e3aa,7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
Dynamics 365 Business Central Essentials,2880026b-2b0c-4251-8656-5d41ff11e3aa,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
Dynamics 365 Business Central Essentials Attach,1d506c23-1702-46f1-b940-160c55f98d05,60bf28f9-2b70-4522-96f7-335f5e06c941,Power Pages Internal User
Dynamics 365 Business Central Essentials Attach,1d506c23-1702-46f1-b940-160c55f98d05,17ca446c-d7a4-4d29-8dec-8e241592164b,Dynamics 365 Business Central Essentials Attach
Dynamics 365 Business Central Essentials Attach,1d506c23-1702-46f1-b940-160c55f98d05,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central Essentials Attach,1d506c23-1702-46f1-b940-160c55f98d05,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,Power Apps for Dynamics 365
Dynamics 365 Business Central Essentials Attach,1d506c23-1702-46f1-b940-160c55f98d05,7e6d7d78-73de-46ba-83b1-6d25117334ba,Power Automate for Dynamics 365
Dynamics 365 Business Central External Accountant,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,170991d7-b98e-41c5-83d4-db2052e1795f,Dynamics 365 Business Central External Accountant
Dynamics 365 Business Central External Accountant,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,113feb6c-3fe4-4440-bddc-54d774bf0318,Exchange Foundation
Dynamics 365 Business Central External Accountant,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,7e6d7d78-73de-46ba-83b1-6d25117334ba,Flow for Dynamics 365
Dynamics 365 Business Central External Accountant,9a1e33ed-9697-43f3-b84c-1b0959dbb1d4,874fc546-6efe-4d22-90b8-5c4e7aa59f4b,PowerApps for Dynamics 365
